"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of nucleobase-containing compound metabolic process","GO:0019219","false","0.0005957372477156098","3.224945245340747","3990","129","49","21026","EPAS1,ADIRF,IER3,NTS,FOSB,NAMPT,CXCL8,HEXIM1,TFRC,SGK1,EGR1,SCGB1A1,ATF4,STAT2,CCNL1,NR4A1,AHR,TSC22D2,TCF7,ZBTB10,MRTFB,KLF4,NR4A2,IER5,TLE4,TRA2A,FOXN3,CCNL2,CTNNB1,FOS,EGFR,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,CDK6,INSR,NFKBIZ,CKS2,SRSF2,PABPC1,TENT5C,FOSL2,ELL2,SOX21,PPP3CA,INTS6"
"GO:BP","cell population proliferation","GO:0008283","false","0.0006431951089609544","3.1916572667461485","2015","129","32","21026","SERPINB3,F3,C1ORF56,ERRFI1,NAMPT,CXCL8,TFRC,IRS2,PTPRZ1,SGK1,CD55,EGR1,SCGB1A1,CCL5,STAT2,NR4A1,AHR,KLF4,IER5,POLD4,CTNNB1,FOS,EGFR,TRIB1,HP1BP3,CDK6,INSR,NFKBIZ,CKS2,FOSL2,B4GALT1,PPP3CA"
"GO:BP","regulation of DNA-templated transcription","GO:0006355","false","0.0008241211631615799","3.0840089331765075","3409","129","44","21026","EPAS1,ADIRF,NTS,FOSB,NAMPT,HEXIM1,TFRC,SGK1,EGR1,SCGB1A1,ATF4,STAT2,CCNL1,NR4A1,AHR,TSC22D2,TCF7,ZBTB10,MRTFB,KLF4,NR4A2,IER5,TLE4,FOXN3,CCNL2,CTNNB1,FOS,EGFR,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,CDK6,INSR,NFKBIZ,CKS2,SRSF2,FOSL2,ELL2,SOX21,PPP3CA,INTS6"
"GO:BP","response to chemical","GO:0042221","false","0.0008497619275568418","3.0707027307922528","3909","129","48","21026","EPAS1,FMO2,CD44,SLC38A2,SLC12A2,S100A14,F3,ERRFI1,FOSB,CXCL8,TFRC,IRS2,DUSP6,S100A16,SGK1,CD55,EGR1,SLC6A14,SCGB1A1,CCL5,ATF4,STAT2,NR4A1,AHR,MT1X,TCF7,AQP5,MAT2A,SORL1,KLF4,NR4A2,TLE4,MCL1,CTNNB1,FOS,RBBP5,EGFR,SDC1,TRIB1,HP1BP3,INSR,NFKBIZ,SRSF2,FOSL2,STT3B,PPP3CA,CPEB2,PAQR7"
"GO:BP","DNA-templated transcription","GO:0006351","false","0.0009520107885993413","3.021358129974126","3549","129","45","21026","EPAS1,ADIRF,NTS,FOSB,NAMPT,HEXIM1,TFRC,SGK1,EGR1,SCGB1A1,ATF4,STAT2,CCNL1,NR4A1,AHR,TSC22D2,TCF7,ZBTB10,MRTFB,KLF4,NR4A2,IER5,TLE4,FOXN3,CCNL2,CTNNB1,FOS,RBBP5,EGFR,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,CDK6,INSR,NFKBIZ,CKS2,SRSF2,FOSL2,ELL2,SOX21,PPP3CA,INTS6"
"GO:BP","developmental process","GO:0032502","false","0.0012148239088392195","2.9154866693593346","6553","129","67","21026","EPAS1,FABP5,SERPINB3,ADIRF,CD44,CTSC,SLC38A2,SLC12A2,KRT5,IER3,IFRD1,F3,ERRFI1,TSPAN8,CXCL8,HEXIM1,TM4SF1,TFRC,IRS2,PTPRZ1,KRT15,DUSP6,VMP1,SGK1,EGR1,TPM4,SCGB1A1,ATF4,STAT2,CSTA,PLK2,ABHD5,TPD52,NR4A1,AHR,MYH9,CDC42SE1,STEAP4,TCF7,AQP5,ECE1,SORL1,MRTFB,KLF4,NR4A2,FOXN3,GIT2,KRT17,DOCK5,MCL1,CTNNB1,FOS,EGFR,SDC1,TLE3,TRIB1,ID1,CDK6,INSR,NFKBIZ,MPZL2,TENT5C,FOSL2,SOX21,B4GALT1,PPP3CA,PAQR7"
"GO:BP","cellular response to chemical stimulus","GO:0070887","false","0.0013568622108024503","2.8674642526545493","2192","129","33","21026","EPAS1,FMO2,SLC38A2,SLC12A2,S100A14,ERRFI1,FOSB,CXCL8,TFRC,IRS2,SGK1,CD55,EGR1,CCL5,ATF4,NR4A1,AHR,MT1X,AQP5,MAT2A,SORL1,KLF4,NR4A2,CTNNB1,FOS,EGFR,TRIB1,HP1BP3,INSR,NFKBIZ,PPP3CA,CPEB2,PAQR7"
"GO:BP","biological regulation","GO:0065007","false","0.0014445047424031358","2.840281028000378","12743","129","104","21026","EPAS1,FABP5,FMO2,SERPINB3,ADIRF,CD44,CTSC,SLC38A2,SLC12A2,KRT5,S100A14,IER3,IFRD1,F3,C1ORF56,ERRFI1,DST,TSPAN8,NTS,FOSB,NAMPT,CXCL8,HEXIM1,TFRC,SPARCL1,IRS2,ATP1B3,PTPRZ1,DUSP6,VMP1,GPRC5A,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,STAT2,STK17B,CSTA,CCNL1,PLK2,ABHD5,NR4A1,AHR,MYH9,CLK1,CDC42SE1,MT1X,TSC22D2,TCF7,AQP5,ECE1,MAT2A,HNRNPH1,SORL1,ZBTB10,MRTFB,ATL3,KLF4,NR4A2,IER5,TLE4,AVPI1,TRA2A,NABP1,BPIFB1,NIBAN1,FOXN3,POLD4,CCNL2,GIT2,KRT17,DOCK5,MCL1,CTNNB1,FOS,BCAM,RBBP5,EGFR,SDC1,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,RIT1,CDK6,INSR,NFKBIZ,CKS2,LIMA1,SRSF2,PABPC1,TENT5C,FOSL2,ELL2,SOX21,B4GALT1,PPP3CA,INTS6,CPEB2,PAQR7"
"GO:BP","regulation of cell population proliferation","GO:0042127","false","0.0016958257101049648","2.7706187847616426","1685","129","28","21026","SERPINB3,F3,C1ORF56,NAMPT,CXCL8,TFRC,IRS2,PTPRZ1,SGK1,CD55,EGR1,SCGB1A1,CCL5,STAT2,NR4A1,AHR,KLF4,IER5,POLD4,CTNNB1,EGFR,TRIB1,HP1BP3,CDK6,INSR,FOSL2,B4GALT1,PPP3CA"
"GO:BP","transcription by RNA polymerase II","GO:0006366","false","0.0026222987465363795","2.5813178326377777","2711","129","37","21026","EPAS1,ADIRF,FOSB,NAMPT,HEXIM1,EGR1,SCGB1A1,ATF4,STAT2,CCNL1,NR4A1,AHR,TSC22D2,TCF7,ZBTB10,MRTFB,KLF4,NR4A2,IER5,TLE4,FOXN3,CCNL2,CTNNB1,FOS,RBBP5,EGFR,HBP1,ID1,TSC22D3,CDK6,NFKBIZ,CKS2,FOSL2,ELL2,SOX21,PPP3CA,INTS6"
